master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RF_SCORE,segment
47b3acdc-25d8-11ea-8e1c-000d3a38a36f,40,14.0,2403.7599999999998,4,5,5,45,loyal_customers
3299d118-afc8-11e9-9757-000d3a38a36f,63,14.0,1718.96,4,5,5,45,loyal_customers
eb8da092-a824-11e9-a2fc-000d3a38a36f,57,11.0,1132.67,4,5,5,45,loyal_customers
09a72af6-47c3-11ea-b6c0-000d3a38a36f,63,13.0,1680.02,4,5,5,45,loyal_customers
e0d5fc16-d69c-11e9-93bc-000d3a38a36f,34,8.0,1009.13,4,5,4,45,loyal_customers
e7e2f23c-a7f5-11e9-a2fc-000d3a38a36f,79,11.0,1226.9,4,5,5,45,loyal_customers
3fa416d6-9d79-11e9-9897-000d3a38a36f,82,10.0,1520.64,4,5,5,45,loyal_customers
a77882ea-a0d2-11e9-a2fc-000d3a38a36f,67,48.0,4603.259999999999,4,5,5,45,loyal_customers
be387682-a79b-11e9-a2fc-000d3a38a36f,76,7.0,888.9200000000001,4,5,4,45,loyal_customers
43a9c5be-9d42-11e9-9897-000d3a38a36f,42,7.0,548.81,4,5,3,45,loyal_customers
69b0bd72-5bb4-11ea-bcf0-000d3a38a36f,66,7.0,815.9,4,5,4,45,loyal_customers
b0d7defc-b0e6-11e9-9757-000d3a38a36f,50,12.0,1515.56,4,5,5,45,loyal_customers
ef831ebc-a8a5-11e9-a2fc-000d3a38a36f,67,12.0,1192.49,4,5,5,45,loyal_customers
976d9066-ac4e-11e9-a2fc-000d3a38a36f,43,9.0,913.84,4,5,4,45,loyal_customers
c83efd70-466c-11ea-b6c0-000d3a38a36f,81,8.0,1142.15,4,5,5,45,loyal_customers
76195da6-b05d-11e9-9757-000d3a38a36f,37,12.0,832.08,4,5,4,45,loyal_customers
b7a8f9a0-a5ba-11e9-a2fc-000d3a38a36f,42,10.0,761.86,4,5,4,45,loyal_customers
cae4ca30-aaf6-11e9-a2fc-000d3a38a36f,52,7.0,568.81,4,5,3,45,loyal_customers
0dca2b3a-9d8f-11e9-9897-000d3a38a36f,55,16.0,2002.3,4,5,5,45,loyal_customers
d9b0aaf8-a4a6-11e9-a2fc-000d3a38a36f,72,9.0,997.8599999999999,4,5,4,45,loyal_customers
3302af88-1866-11ea-9213-000d3a38a36f,42,7.0,1273.3700000000001,4,5,5,45,loyal_customers
e87a115e-d611-11e9-93bc-000d3a38a36f,81,8.0,1161.9,4,5,5,45,loyal_customers
b9940350-9f1a-11e9-9897-000d3a38a36f,42,7.0,852.15,4,5,4,45,loyal_customers
2c41e072-9ec9-11e9-9897-000d3a38a36f,44,13.0,619.41,4,5,3,45,loyal_customers
e25d1e2c-25c8-11ea-b1c8-000d3a38a36f,69,8.0,1143.8,4,5,5,45,loyal_customers
32d8307e-1d6a-11ea-a490-000d3a38a36f,82,9.0,847.8299999999999,4,5,4,45,loyal_customers
896168e2-6f5f-11ea-b40c-000d3a38a36f,67,7.0,792.3399999999999,4,5,4,45,loyal_customers
ad8d2fce-b20b-11e9-89fa-000d3a38a36f,60,8.0,835.52,4,5,4,45,loyal_customers
c65bb7ee-aaf6-11e9-a2fc-000d3a38a36f,71,14.0,1703.75,4,5,5,45,loyal_customers
352b1a7c-a802-11e9-a2fc-000d3a38a36f,64,7.0,976.4300000000001,4,5,4,45,loyal_customers
e0369874-1f8a-11ea-87bf-000d3a38a36f,75,8.0,395.1,4,5,2,45,loyal_customers
cfe68c5a-1abb-11ea-98d5-000d3a38a36f,47,8.0,768.34,4,5,4,45,loyal_customers
d7686d98-37b8-11eb-a48e-000d3a38a36f,49,7.0,812.3100000000001,4,5,4,45,loyal_customers
b362ebc0-b11e-11e9-9757-000d3a38a36f,79,7.0,1455.04,4,5,5,45,loyal_customers
b4801d48-ddd3-11e9-a848-000d3a38a36f,60,13.0,1707.8,4,5,5,45,loyal_customers
aa18a516-abbd-11e9-a2fc-000d3a38a36f,68,7.0,905.76,4,5,4,45,loyal_customers
b8abaeda-a72f-11e9-a2fc-000d3a38a36f,66,17.0,2286.06,4,5,5,45,loyal_customers
120c4322-adbb-11e9-a2fc-000d3a38a36f,39,15.0,2440.61,4,5,5,45,loyal_customers
a54be35e-4bef-11ea-a626-000d3a38a36f,67,7.0,590.4,4,5,3,45,loyal_customers
76495924-9799-11ea-a9c8-000d3a38a36f,34,5.0,735.83,4,4,4,44,loyal_customers
aa075372-e477-11e9-ad00-000d3a38a36f,66,5.0,688.83,4,4,4,44,loyal_customers
0ad69060-ae21-11e9-a2fc-000d3a38a36f,81,5.0,925.96,4,4,4,44,loyal_customers
54a8a418-4222-11ea-96d9-000d3a38a36f,37,5.0,646.29,4,4,3,44,loyal_customers
825cc0fe-e388-11e9-ad00-000d3a38a36f,44,6.0,1257.0700000000002,4,4,5,44,loyal_customers
23447b7c-5b4f-11ea-8c16-000d3a38a36f,51,6.0,631.93,4,4,3,44,loyal_customers
b8b08a0a-a1ed-11e9-a2fc-000d3a38a36f,40,5.0,420.95,4,4,2,44,loyal_customers
c35afd58-a505-11e9-a2fc-000d3a38a36f,51,6.0,847.0699999999999,4,4,4,44,loyal_customers
0e430d4e-a52c-11e9-a2fc-000d3a38a36f,72,6.0,1008.89,4,4,4,44,loyal_customers
ac28d8fe-b152-11e9-9757-000d3a38a36f,60,5.0,545.93,4,4,3,44,loyal_customers
bfe18868-abf8-11ea-b736-000d3a38a36f,75,6.0,548.9,4,4,3,44,loyal_customers
806572e8-709e-11ea-95d1-000d3a38a36f,49,5.0,918.72,4,4,4,44,loyal_customers
a7fce350-24fd-11ea-bf27-000d3a38a36f,62,5.0,820.8100000000001,4,4,4,44,loyal_customers
30267bb8-5449-11ea-b1db-000d3a38a36f,38,5.0,434.94,4,4,2,44,loyal_customers
36ec83f2-563d-11ea-b9b9-000d3a38a36f,48,6.0,729.87,4,4,4,44,loyal_customers
38b13a7e-aaa9-11e9-a2fc-000d3a38a36f,73,5.0,1033.42,4,4,5,44,loyal_customers
7870a390-1f19-11ea-87bf-000d3a38a36f,40,5.0,1029.3999999999999,4,4,5,44,loyal_customers
f1085952-ad12-11e9-a2fc-000d3a38a36f,64,4.0,669.96,4,4,4,44,loyal_customers
bbf87e62-2be9-11ea-91ab-000d3a38a36f,66,5.0,928.5999999999999,4,4,4,44,loyal_customers
4f9eb946-1eb7-11ea-aa32-000d3a38a36f,60,5.0,423.69000000000005,4,4,2,44,loyal_customers
b158f9b4-f4bc-11e9-9346-000d3a38a36f,59,6.0,530.72,4,4,3,44,loyal_customers
1cbaf6ee-a800-11e9-a2fc-000d3a38a36f,44,6.0,659.36,4,4,3,44,loyal_customers
42681860-18d3-11ea-9213-000d3a38a36f,68,6.0,1120.73,4,4,5,44,loyal_customers
5c641c48-ffef-11e9-a5e8-000d3a38a36f,38,5.0,828.57,4,4,4,44,loyal_customers
111a559c-b0d8-11e9-9757-000d3a38a36f,56,7.0,875.37,4,4,4,44,loyal_customers
9d05cd10-9828-11ea-9d91-000d3a38a36f,41,5.0,879.4300000000001,4,4,4,44,loyal_customers
cb1e5004-5b4d-11ea-b8df-000d3a38a36f,41,6.0,1033.3,4,4,5,44,loyal_customers
53b403ea-a7bd-11e9-a2fc-000d3a38a36f,55,5.0,688.9300000000001,4,4,4,44,loyal_customers
cae80110-af7d-11e9-a2fc-000d3a38a36f,43,5.0,982.8699999999999,4,4,4,44,loyal_customers
2e83af92-d88e-11e9-93bc-000d3a38a36f,46,6.0,391.43,4,4,2,44,loyal_customers
cdb68642-1a48-11ea-941b-000d3a38a36f,72,6.0,1362.85,4,4,5,44,loyal_customers
ff86d070-ad36-11e9-a2fc-000d3a38a36f,71,5.0,323.93,4,4,2,44,loyal_customers
f3e5add2-afc9-11e9-9757-000d3a38a36f,77,4.0,529.33,4,4,3,44,loyal_customers
3857f174-b177-11e9-89fa-000d3a38a36f,69,6.0,462.39,4,4,3,44,loyal_customers
9f01db8a-a5b3-11e9-a2fc-000d3a38a36f,40,5.0,1003.49,4,4,4,44,loyal_customers
7e48e2f8-aa22-11e9-a2fc-000d3a38a36f,59,6.0,495.9,4,4,3,44,loyal_customers
cb46db82-afb8-11e9-9757-000d3a38a36f,59,5.0,715.96,4,4,4,44,loyal_customers
471cec4e-9f5e-11e9-a2fc-000d3a38a36f,62,5.0,480.81,4,4,3,44,loyal_customers
27a56e70-5428-11ea-b1db-000d3a38a36f,77,5.0,460.16999999999996,4,4,3,44,loyal_customers
482e2264-ad0b-11e9-a2fc-000d3a38a36f,41,6.0,1190.12,4,4,5,44,loyal_customers
24b35198-5b4c-11ea-9b73-000d3a38a36f,42,6.0,1220.1599999999999,4,4,5,44,loyal_customers
5509977c-5bf0-11ea-b939-000d3a38a36f,47,5.0,1047.8899999999999,4,4,5,44,loyal_customers
702ca6b2-9ebc-11e9-9897-000d3a38a36f,54,5.0,492.64,4,4,3,44,loyal_customers
f462b6ac-7075-11ea-8369-000d3a38a36f,51,4.0,389.69,4,4,2,44,loyal_customers
7077a864-5b46-11ea-b636-000d3a38a36f,63,5.0,481.34000000000003,4,4,3,44,loyal_customers
0d54e5e6-9de9-11e9-9897-000d3a38a36f,81,7.0,587.97,4,4,3,44,loyal_customers
003903e0-abce-11e9-a2fc-000d3a38a36f,68,5.0,577.47,4,4,3,44,loyal_customers
4cdde676-ad5d-11e9-a2fc-000d3a38a36f,37,5.0,567.68,4,4,3,44,loyal_customers
fba56eec-aedc-11e9-a2fc-000d3a38a36f,34,6.0,879.94,4,4,4,44,loyal_customers
7302f480-672f-11eb-975c-000d3a38a36f,60,5.0,631.19,4,4,3,44,loyal_customers
faa8ea68-21b0-11ea-9618-000d3a38a36f,54,4.0,690.4,4,4,4,44,loyal_customers
60fbd5f8-5b06-11ea-ae34-000d3a38a36f,42,5.0,593.4300000000001,4,4,3,44,loyal_customers
faa30cb0-b19e-11e9-89fa-000d3a38a36f,68,5.0,476.92999999999995,4,4,3,44,loyal_customers
0cb22dc4-2331-11ea-8523-000d3a38a36f,56,6.0,527.93,4,4,3,44,loyal_customers
2ee8230e-63fe-11ea-a6dc-000d3a38a36f,48,5.0,604.42,4,4,3,44,loyal_customers
482822d8-5b2a-11ea-9ee1-000d3a38a36f,63,6.0,1189.74,4,4,5,44,loyal_customers
135ba0d0-5bf6-11ea-b87f-000d3a38a36f,54,7.0,544.9300000000001,4,4,3,44,loyal_customers
c53518b4-222f-11ea-8523-000d3a38a36f,65,5.0,459.91999999999996,4,4,3,44,loyal_customers
53ed1100-b0df-11e9-9757-000d3a38a36f,59,6.0,515.77,4,4,3,44,loyal_customers
f791947a-40c7-11ea-82e1-000d3a38a36f,80,4.0,500.93,4,4,3,44,loyal_customers
7dac0cb2-a4be-11e9-a2fc-000d3a38a36f,76,5.0,616.8299999999999,4,4,3,44,loyal_customers
7ea15bc0-190f-11ea-9213-000d3a38a36f,47,5.0,1037.2,4,4,5,44,loyal_customers
63caf5e4-e3be-11e9-ad00-000d3a38a36f,83,6.0,1594.13,4,4,5,44,loyal_customers
03cf7626-2c4b-11ea-b752-000d3a38a36f,62,7.0,794.85,4,4,4,44,loyal_customers
82c89374-b160-11e9-89fa-000d3a38a36f,50,6.0,553.47,4,4,3,44,loyal_customers
cc221e52-2873-11ea-b87a-000d3a38a36f,47,6.0,508.29999999999995,4,4,3,44,loyal_customers
a2a2386c-508e-11ea-99ba-000d3a38a36f,75,5.0,927.84,4,4,4,44,loyal_customers
13ec4a62-9d20-11e9-9897-000d3a38a36f,53,5.0,729.9100000000001,4,4,4,44,loyal_customers
2a87e59e-a9a3-11e9-a2fc-000d3a38a36f,64,6.0,817.3100000000001,4,4,4,44,loyal_customers
f7d23be8-1dbc-11ea-8bf2-000d3a38a36f,73,5.0,396.43,4,4,2,44,loyal_customers
ff69a5da-a945-11e9-a2fc-000d3a38a36f,135,9.0,740.8,3,5,4,35,loyal_customers
866d227a-b097-11e9-9757-000d3a38a36f,90,9.0,894.41,3,5,4,35,loyal_customers
19a95b7a-49d6-11eb-806e-000d3a38a36f,121,15.0,2336.72,3,5,5,35,loyal_customers
d0e01434-a99e-11e9-a2fc-000d3a38a36f,106,8.0,777.27,3,5,4,35,loyal_customers
2b39c50a-26dc-11ea-aaaa-000d3a38a36f,85,16.0,1408.0,3,5,5,35,loyal_customers
9d1485d4-b09e-11e9-9757-000d3a38a36f,106,11.0,1107.06,3,5,5,35,loyal_customers
46fdb554-a5c1-11e9-a2fc-000d3a38a36f,136,17.0,2259.95,3,5,5,35,loyal_customers
fa5d3a28-ac9e-11e9-a2fc-000d3a38a36f,106,10.0,1203.55,3,5,5,35,loyal_customers
48f611a8-a77e-11e9-a2fc-000d3a38a36f,106,9.0,776.7,3,5,4,35,loyal_customers
4baf9b1e-b0cd-11e9-9757-000d3a38a36f,118,11.0,1904.19,3,5,5,35,loyal_customers
74a5a56c-5b46-11ea-8f90-000d3a38a36f,102,7.0,725.76,3,5,4,35,loyal_customers
7385e7b6-a5e1-11e9-a2fc-000d3a38a36f,87,24.0,3010.6000000000004,3,5,5,35,loyal_customers
f63aba0e-41d8-11ea-96d9-000d3a38a36f,135,8.0,1084.85,3,5,5,35,loyal_customers
3b572bd6-a5d5-11e9-a2fc-000d3a38a36f,98,7.0,1011.55,3,5,4,35,loyal_customers
76108eea-a790-11e9-a2fc-000d3a38a36f,127,15.0,2288.91,3,5,5,35,loyal_customers
eec8e104-a98c-11e9-a2fc-000d3a38a36f,140,8.0,819.21,3,5,4,35,loyal_customers
2a930b5c-a7ca-11e9-a2fc-000d3a38a36f,131,9.0,1041.83,3,5,5,35,loyal_customers
1e1e9600-a821-11e9-a2fc-000d3a38a36f,118,11.0,969.35,3,5,4,35,loyal_customers
39a01c88-a834-11e9-a2fc-000d3a38a36f,91,8.0,1285.5,3,5,5,35,loyal_customers
be7d9cae-a551-11e9-a2fc-000d3a38a36f,111,13.0,1532.99,3,5,5,35,loyal_customers
5bc97abc-ac0c-11e9-a2fc-000d3a38a36f,135,10.0,948.3100000000001,3,5,4,35,loyal_customers
cb9f9d18-ac51-11e9-a2fc-000d3a38a36f,116,9.0,721.39,3,5,4,35,loyal_customers
346719dc-b104-11e9-9757-000d3a38a36f,133,9.0,1097.37,3,5,5,35,loyal_customers
fd49d458-ac5d-11e9-a2fc-000d3a38a36f,133,7.0,1348.8200000000002,3,5,5,35,loyal_customers
8969abe6-f7c9-11e9-841e-000d3a38a36f,108,7.0,653.14,3,5,3,35,loyal_customers
c330ba4c-531b-11ea-acd3-000d3a38a36f,91,9.0,1034.85,3,5,5,35,loyal_customers
1b1246b4-a81c-11e9-a2fc-000d3a38a36f,138,8.0,945.0,3,5,4,35,loyal_customers
48398c5e-aed1-11e9-a2fc-000d3a38a36f,110,8.0,947.87,3,5,4,35,loyal_customers
ee0403aa-a8c6-11e9-a2fc-000d3a38a36f,132,10.0,998.63,3,5,4,35,loyal_customers
dd8f7930-615f-11ea-8dd8-000d3a38a36f,102,19.0,1237.77,3,5,5,35,loyal_customers
960099b2-a375-11e9-a2fc-000d3a38a36f,132,7.0,933.53,3,5,4,35,loyal_customers
409ed1f2-ab52-11e9-a2fc-000d3a38a36f,99,15.0,1649.88,3,5,5,35,loyal_customers
2b5a405c-2837-11eb-8a9b-000d3a38a36f,132,12.0,1095.9099999999999,3,5,5,35,loyal_customers
f7378230-a97f-11e9-a2fc-000d3a38a36f,145,11.0,887.74,3,5,4,35,loyal_customers
